"Reference","Value","Footprint","Qty","Manufacturer","Part Number"
"C2,C3,C6,C7,C8,C11,C14,C17,C20,C23,C26","22uF 10V 20%","Capacitor_SMD:C_0805_2012Metric","11","Murata","GRM21BR61A226ME51L"
"C9,C12,C15,C18,C21,C24,C27","4.7uF 25V 20%","Capacitor_SMD:C_0402_1005Metric","7","HRE","CGA0402X5R475M250GT"
"C10,C13,C16,C19,C22,C25,C28","12nF 50V 5% NP0","Capacitor_SMD:C_0805_2012Metric","7","Murata","GRM2195C1H123JA01D"
"D1,D3,D6,D9,D12,D15,D18,D21","LED_Dual_AAKK","Pixels-dice:XL-1615SURUGC","8","XINGLIGHT","XL-1615SURUGC"
"D4,D7,D10,D13,D16,D19,D22","D_Schottky","Diode_SMD:D_SOD-523","7","onsemi","RB521S30T1G"
"D5,D8,D11,D14,D17,D20,D23","BAV99S","Pixels-dice:SOT-363_SC-70-6","7","Nexperia","BAV99S,115"
"J2","USB_C_Receptacle_USB2.0","Pixels-dice:USB-C-SMD_10P-P1.00-L6.8-W8.9","1","Korean Hroparts Elec","TYPE-C-31-M-17"
"P1,P3,P5,P7,P9,P11,P13","COILA","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","7","",""
"P2,P4,P6,P8,P10,P12,P14","COILB","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","7","",""
"R2,R3","5.1k 1%","Resistor_SMD:R_0402_1005Metric","2","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE"
"R6,R7,R14,R18,R22,R26,R30,R34,R38,R46,R47,R48,R49,R50,R51,R52","200R 5%","Resistor_SMD:R_0402_1005Metric","16","UNI-ROYAL(Uniroyal Elec)","0402WGF2000TCE"
"R8","357k 1%","Resistor_SMD:R_0402_1005Metric","1","UNI-ROYAL(Uniroyal Elec)"," 0402WGF3573TCE"
"R9","1.5M 1%","Resistor_SMD:R_0402_1005Metric","1","UNI-ROYAL(Uniroyal Elec)","0402WGF1504TCE"
"R10","47k 1%","Resistor_SMD:R_0402_1005Metric","1","UNI-ROYAL(Uniroyal Elec)","0402WGF4702TCE"
"R11,R15,R19,R23,R27,R31,R35","10k 1%","Resistor_SMD:R_0402_1005Metric","7","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE"
"R12,R16,R20,R24,R28,R32,R36","75R 1%","Resistor_SMD:R_1210_3225Metric","7","YAGEO","RC1210JR-0782RL"
"R13,R17,R21,R25,R29,R33,R37","3.57k 1%","Resistor_SMD:R_0402_1005Metric","7","UNI-ROYAL(Uniroyal Elec)","0402WGF3571TCE"
"R39,R40,R41,R42,R43,R44,R45","0R","Resistor_SMD:R_0402_1005Metric","7","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE"
"SW1","SW_SPDT","Pixels-dice:MST22D18G2_125","1","SHOU HAN","MST22D18G2 125"
"SW2","SW_Push","Pixels-dice:PS-8055SVA-6PNA","1","G-Switch","PS-8055SVA-6PNA"
"U2","TLV75801PDBV","Package_TO_SOT_SMD:SOT-23-5","1","Texas Instruments","TLV75801PDBVR"
"U3","SSP61CN4802MR","Package_TO_SOT_SMD:SOT-23","1","UMW(Youtai Semiconductor Co., Ltd.)","HT7050S"
"U4,U6,U8,U10,U12,U14,U16","PJ75BL50SA","Pixels-dice:SOT-23","7","PJSEMI","PJ75BL50SA"
"U5,U7,U9,U11,U13,U15,U17","XT4051","Package_TO_SOT_SMD:SOT-553","7","NATLINEAR","XT4051K421KR-G"
