Designator,Footprint,Quantity,Value,LCSC Part #
AE1,CHIP_ANT,1,Antenna_Chip,C486319
"C1, C18, C19, C2, C20, C24, C3, C35, C37, C4, C43, C5, C6, C7",0402,14,0.1uF 25V,C105883
C10,0402,1,100pF NP0 10V 5%,C147476
C11,0402_RF,1,0.8pF 10V 5% NP0,C76915
"C13, C14",0402,2,8pF 10V 10%,C521082
"C15, C51",CP_Elec_6.3x5.4,2,100uF 50V,C97807
"C16, C23, C25, C38, C46",1210,5,22uF 25V,C12891
"C17, C21, C26, C34, C40, C8, C9",0805,7,10uF 10V,C1713
"C36, C48",0402,2,10nF 50V,C386111
C42,0402,1,8200pF 16V,C309459
C45,0402,1,10pF 10V 20%,C2168196
"C49, C50",CP_Elec_10x10,2,220uF 50V,C125977
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D6, D7, D8, D9",TX1812Z_2020,15,TX1812Z_2020,C784564
D5,D_SMA,1,D_TVS,C148217
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J10,PinHeader_1x03_P2.54mm_Vertical,1,SERVOB,C2894926
J11,CCSH-W10R-XXTR-BK-A,1,Qwiic,
"J12, J9",DB125-3.81-2P-GN-S,2,Screw_Terminal_01x02,C395878
J13,BARREL_JACK,1,Barrel_Jack_Switch,C7507454
J2,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_02x05_Odd_Even,C2962219
J3,DB125-3.81-10P-GN-S,1,Screw_Terminal_01x10,C5137189
J5,DB125-3.81-4P-GN-S,1,Screw_Terminal_01x04,C395880
J6,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,DYNAMIXEL,C185225
J7,DB125-3.81-3P-GN-S,1,Neopixel,C395879
J8,PinHeader_1x03_P2.54mm_Vertical,1,SERVOA,C2894926
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
L1,0805,1,10uH 100mA,C223269
L2,0402,1,15nH,C97979
L3,0402_RF,1,3.9nH 5%,C5452416
"L4, L5",0402_RF,2,10nH 5%,C77103
L6,L_7.3x7.3_H3.5,1,3.3uH 6A,C514807
"R1, R2, R3, R4",0402,4,10k 5%,C25744
R10,0402,1,22.1k 1%,C43473
"R11, R12, R7",0402,3,4.02M 1%,C423177
"R5, R6",0402,2,2.2k 5%,C25879
R8,0402,1,1M 1%,C26083
R9,0402,1,124k 1%,C36777
"SW1, SW2",TSB008A2530A,2,SW_Push,C2888954
U1,SC-74A,1,74AHCT1G126,C842288
"U2, U3, U4",SC-74A,3,74AHCT1G125,C12494
U5,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,N52810_QFN32,
U6,Diodes_SO-8EP,1,TPS54627,C398919
U7,SOT-23-5,1,ME6215,C236664
W1,TestPoint_1.5x1.5_Drill0.9mm,1,LED_DATA1,
W10,TestPoint_1.5x1.5_Drill0.9mm,1,SS,
W11,TestPoint_1.5x1.5_Drill0.9mm,1,VDD,
W12,TestPoint_1.5x1.5_Drill0.9mm,1,FB,
W13,TestPoint_1.5x1.5_Drill0.9mm,1,+5VD,
W14,TestPoint_1.5x1.5_Drill0.9mm,1,5V_SENSE,
"W2, W3, W4, W5, W7",TestPoint_1.5x1.5_Drill0.9mm,5,GND,
W6,TestPoint_1.5x1.5_Drill0.9mm,1,12V_SENSE,
W8,TestPoint_1.5x1.5_Drill0.9mm,1,+12V,
W9,TestPoint_1.5x1.5_Drill0.9mm,1,VREG5,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz 40ppm,C527602
